"Value Date","On Offer","Maturing"
"02/10/2023","2545/091","2532/091"
"02/10/2023","2518/182","2492/182"
"02/10/2023","2471/364","2418/364"
"09/10/2023","2546/091","2533/091"
"09/10/2023","2519/182","2493/182"
"09/10/2023","2472/364","2419/364"
"16/10/2023","2547/091","2534/091"
"16/10/2023","2520/182","2494/182"
"16/10/2023","2473/364","2420/364"
"23/10/2023","2548/091","2535/091"
"23/10/2023","2521/182","2495/182"
"23/10/2023","2474/364","2421/364"
"30/10/2023","2549/091","2536/091"
"30/10/2023","2522/182","2496/182"
"30/10/2023","2475/364","2422/364"
